Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1696382668,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382669,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382670,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382671,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382672,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382673,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382674,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382675,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382676,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382677,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382678,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382679,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
